,REGULAR SEASON,,,,,PLAYOFFS,,,,,COMBINED,,,,,
,,,,,,,,,,,,,,,,
,T100,T50,GP,,,T100,T50,GP,,,T100,T50,GP,,RS,PLAYOFFS
,8,4,32,barnes (quickley) (waddle) (bichette),,1,0,5,poopybuttlover,,19,10,39,uelito,33,6
,7,4,32,aholl173,,1,0,5,scottie,,7,3,39,idxstyew,34,5
,7,3,32,famous (famousamos229),,2,0,5,plemay,,20,13,39,ln4,29,10
,12,5,32,camnewtondabest (zcamnewton) (zupacam),,0,0,5,neev,,14,8,39,snowy (snowyosu),34,5
,6,3,31,chrxstian (okc),,1,0,5,longganisa (rich.brian),,12,8,39,devonta (dejean),34,5
,3,1,31,lebron (burgerking) (rodgers),,1,0,5,sink,,8,3,39,clarke (ww98),36,3
,1,1,31,legette (mhii) (xl17),,3,3,5,thedestroyer22,,26,18,39,shad0w,29,10
,5,3,31,christian,,1,0,5,snowy,,8,4,38,schmiddy,34,4
,9,5,31,gschmoney,,2,0,5,eclipse,,7,5,38,liam (bad) (li.am),35,3
,10,6,31,tk14,,4,2,5,jordancarter,,6,1,38,xxyn,35,3
,13,5,31,shenli,,2,1,5,toasty,,20,7,38,saquon,28,10
,5,4,31,sony,,2,1,5,ay355,,22,16,38,fun,38,
,5,3,31,berg_02,,5,1,5,maliknabers69 (leek),,9,5,37,barnes (quickley) (waddle) (bichette),32,5
,15,8,31,corbin (tyus),,2,1,5,sotonyc,,8,2,37,bucky_,36,1
,15,11,31,intriquid,,3,2,5,khys9575,,11,6,37,bennett,23,14
,14,7,30,happ,,1,1,5,kane,,6,3,36,chrxstian (okc),31,5
,6,2,30,therealsportsman,,3,0,5,josephmazzulla,,7,2,36,grant (whosgrant),32,4
,5,2,30,texan,,2,0,5,downs,,13,7,36,rockymountain (mellusi) (timelord) (melendez) (castellanos),35,1
,1,0,30,tatismvpszn,,3,2,5,hoodispida,,17,6,36,newton (member466849),30,6
,5,4,30,cocacola,,1,0,5,robertjr,,4,3,36,tsukiko,36,
,9,3,30,seahawkz,,3,2,4,all (reels),,15,8,36,maxverstappen_ (relaxedp),34,2
,2,1,30,cypablo (cities) (jet) (yeah),,0,0,4,galaxygiraffe (islam),,12,8,35,robert,29,6
,15,6,30,newton (member466849),,1,1,4,lebron (rodgers),,6,4,35,mad,35,
,3,0,30,tye,,0,0,4,cocacola,,4,2,35,lebron (burgerking) (rodgers),31,4
,8,4,30,jaylenszn,,0,0,4,ja.mes,,9,6,35,depressedcardinalsfan,21,14
,5,2,30,itzneallol,,1,1,4,schmiddy_ (yoshida_),,12,3,35,riggiem,25,10
,18,11,30,chazwick,,0,0,4,buctober2024,,13,5,35,shenli,31,4
,17,10,30,mrswaggymcswag0,,0,0,4,icemountain,,16,13,35,icy,24,11
,21,15,30,downs,,0,0,4,aidenishim,,23,15,35,downs,30,5
,10,7,29,robert,,1,0,4,raffe (alecbohm28),,13,11,34,heim (boban),34,
,8,3,29,lubob,,1,1,4,leow,,2,1,34,tatismvpszn,30,4
,14,10,29,jakefromstatenothing,,0,0,4,skoh,,5,4,34,cocacola,30,4
,13,7,29,yogiferrell,,2,1,4,koski,,1,1,34,legette (mhii) (xl17),31,3
,7,4,29,dawgsnation,,2,1,4,👻,,8,4,34,famous (famousamos229),32,2
,14,7,29,ln4,,1,0,4,markdavishaircut,,8,2,34,brax__,27,7
,4,2,29,noir,,1,1,4,bos,,6,2,34,jensive,26,8
,6,1,29,crqmer,,0,0,4,grant,,6,2,34,fernando (iconic) (evanchampion),33,1
,14,9,29,yaxel (🚀📈🔥),,0,0,4,bigk,,15,11,34,intriquid,31,3
,10,3,29,rich.brian (longganisa),,3,1,4,jjettaz (senddavide0),,11,3,34,rich.brian (longganisa),29,5
,20,15,29,shad0w,,0,0,4,shenli,,16,10,34,tgeneral,24,10
,7,3,29,ay355,,2,1,4,sallis,,9,4,34,ay355,29,5
,4,3,28,maxkepler,,1,1,4,tatismvpszn,,2,0,33,giantsfootball (uncbasketball),33,
